distance,intensity,jnd,userid
345,200,-29.07442286,3_67
9,250,0.009430782,66_122
9,100,0.009430782,81_47
9,100,0.009602165,74_102
93,100,0.045834674,60_63
9,50,0.10946742,81_47
9,50,0.114344221,8_91
9,50,0.134378412,60_63
9,100,0.141582447,8_91
9,100,0.142094593,60_63
9,250,0.142094593,64_45
9,200,0.142094593,63_137
9,250,0.146196157,60_63
9,250,0.146196157,63_137
9,200,0.150805447,60_63
9,200,0.158548791,8_91
9,200,0.167678375,81_47
9,150,0.173900909,60_63
9,100,0.178889242,135_83
9,250,0.184729464,81_47
9,100,0.18528055,89_94
9,200,0.187867327,34_39
9,250,0.18940431,135_83
9,250,0.18940431,97_60
9,100,0.18940431,97_60
9,150,0.196275902,135_83
9,50,0.208329013,63_137
9,150,0.220493387,44_25
9,50,0.22111493,97_60
9,250,0.231365744,44_25
9,200,0.235101573,66_122
9,50,0.235101573,66_122
9,200,0.239203209,23_177
9,50,0.240018132,44_25
9,150,0.240640862,97_60
9,200,0.244688365,19_42
9,200,0.246577378,135_83
9,200,0.246577379,97_60
9,50,0.246577379,74_102
9,200,0.251070063,74_102
9,50,0.254712661,89_94
9,200,0.256362872,44_25
9,200,0.259828099,83_55
9,250,0.261224267,89_94
9,150,0.273505766,8_91
9,250,0.284734441,23_177
9,100,0.287464783,63_137
9,100,0.289329643,44_25
93,50,0.29459313,63_137
9,250,0.298592974,74_102
9,50,0.301506558,62_116
9,150,0.303770943,89_94
9,150,0.314093203,64_45
9,150,0.315388069,23_177
9,150,0.315715474,66_122
9,50,0.322743134,64_45
9,50,0.322743134,135_83
9,100,0.32580044,23_177
9,150,0.326062085,80_74
9,250,0.334816114,8_91
9,100,0.335751458,34_39
9,100,0.341732163,66_122
9,150,0.345478781,81_47
9,50,0.34829616,23_177
9,100,0.355202161,83_55
9,150,0.355866915,62_116
93,250,0.357333619,97_60
9,250,0.361758142,120_73
9,200,0.373384288,89_94
9,100,0.377053244,80_74
93,250,0.384756403,8_91
9,250,0.385056069,34_39
9,250,0.392835547,79_125
9,200,0.395287237,64_45
9,50,0.398741435,83_55
93,50,0.402164395,44_25
9,50,0.409663672,80_74
9,150,0.423194209,79_125
9,150,0.42715419,74_102
9,200,0.436494573,80_74
9,50,0.439372021,59_69
9,100,0.442548964,62_116
9,100,0.445174388,64_45
9,150,0.453894728,83_55
9,200,0.462530053,62_116
