distance,intensity,jnd,userid
150,10,0.122093856,47_33
0,10,0.173160361,47_33
0,10,0.176152093,77_104
0,10,0.188196788,101_49
0,10,0.204870171,104_62
0,10,0.213347853,144_180
0,10,0.234326312,13_93
0,10,0.243346669,137_85
50,10,0.246577378,71_124
0,10,0.248094462,98_96
50,10,0.254043485,75_65
50,10,0.274260594,47_33
50,10,0.284761104,137_85
50,10,0.306633535,88_127
50,10,0.30708744,13_93
0,10,0.310784771,75_65
0,10,0.315115067,88_127
0,10,0.316484695,21_44
50,10,0.319642011,101_49
0,20,0.320732344,75_65
0,10,0.326915651,71_124
0,10,0.334527411,183_31
50,10,0.336565187,183_31
0,20,0.337682097,88_127
0,10,0.340781834,68_72
0,10,0.342161474,110_54
100,10,0.344622467,137_85
50,10,0.34829616,104_62
0,10,0.359248754,91_78
0,20,0.360048214,104_62
0,20,0.360048214,13_93
0,10,0.36171383,123_80
100,10,0.366856435,47_33
50,10,0.368648608,123_80
50,10,0.37960205,110_54
0,10,0.383842694,27_178
0,10,0.392422176,178_29
50,10,0.392659099,77_104
0,10,0.409183613,36_41
100,10,0.410201408,144_180
100,10,0.420455055,27_178
100,10,0.420455056,123_80
50,20,0.42274014,75_65
0,10,0.423186186,82_51
0,10,0.431518961,126_82
100,10,0.435929092,88_127
0,10,0.438730619,141_150
50,10,0.44699112,27_178
50,10,0.448967538,91_78
100,10,0.470854479,104_62
0,20,0.473913327,178_29
50,10,0.482714234,98_96
150,10,0.483685494,137_85
0,10,0.490627835,31_105
200,10,0.503811265,123_80
100,10,0.505291374,110_54
0,10,0.506812452,125_121
100,10,0.507145697,178_29
50,10,0.507693108,144_180
0,10,0.508661479,105_135
50,20,0.509323723,47_33
50,10,0.510482305,178_29
150,10,0.510759551,13_93
0,20,0.515444467,47_33
150,10,0.519953149,98_96
0,20,0.52089801,101_49
150,10,0.525562466,75_65
0,20,0.52623609,98_96
0,20,0.52623609,91_78
0,20,0.535313961,137_85
0,20,0.538966714,183_31
0,20,0.542539615,144_180
50,10,0.544031638,141_150
150,10,0.551087408,104_62
0,30,0.55747092,178_29
150,10,0.558880047,178_29
50,10,0.559462846,36_41
200,20,0.563999204,101_49
150,40,0.56685842,77_104
50,10,0.568173805,82_51
200,30,0.569467862,47_33
200,50,0.588713,47_33
0,20,0.594968332,68_72
0,30,0.595192447,101_49
0,20,0.600094796,71_124
200,40,0.602370419,137_85
0,20,0.605135785,27_178
50,20,0.611306097,101_49
100,10,0.613490305,75_65
100,10,0.617018054,183_31
50,20,0.617267503,137_85
50,10,0.619190966,68_72
0,30,0.623791998,77_104
100,10,0.626312434,77_104
50,20,0.630561317,178_29
200,10,0.638193368,137_85
0,30,0.638574594,144_180
50,20,0.641517344,98_96
0,30,0.643117018,88_127
200,20,0.646881182,47_33
200,10,0.655085102,144_180
50,10,0.657058355,126_82
200,10,0.662927538,47_33
200,20,0.663548254,98_96
200,10,0.665940311,88_127
150,10,0.669489697,101_49
100,10,0.670076116,101_49
0,20,0.670556795,110_54
0,20,0.677730158,77_104
150,10,0.679154398,77_104
100,10,0.68123223,98_96
200,10,0.681584483,101_49
100,10,0.686729652,13_93
0,30,0.691182778,137_85
150,20,0.692674272,183_31
100,20,0.69458674,75_65
100,20,0.696878322,101_49
0,10,0.698671242,150_110
