yes-answer,time,intensity,distance,Difference
0,0.927,50,9,-2.0
0,1.4669999999999999,50,9,-2.0
0,1.055,50,9,-2.0
0,2.028,50,9,-2.0
0,1.1520000000000001,50,9,-2.0
0,1.025,50,9,-2.0
0,1.032,50,9,-2.0
0,1.048,50,9,-2.0
0,2.302,50,9,-2.0
0,0.878,50,9,-2.0
0,1.357,50,9,-1.525
0,1.4369999999999998,50,9,-1.525
1,1.956,50,9,-1.525
0,1.463,50,9,-1.525
0,1.217,50,9,-1.525
0,1.165,50,9,-1.525
0,1.569,50,9,-1.525
0,1.514,50,9,-1.525
0,1.097,50,9,-1.525
0,1.345,50,9,-1.525
0,1.787,50,9,-1.05
0,1.1340000000000001,50,9,-1.05
0,1.244,50,9,-1.05
0,1.669,50,9,-1.05
0,0.958,50,9,-1.05
0,1.21,50,9,-1.05
0,0.958,50,9,-1.05
0,1.0490000000000002,50,9,-1.05
0,1.49,50,9,-1.05
0,1.042,50,9,-1.05
0,1.649,50,9,-0.5750000000000002
0,1.252,50,9,-0.5750000000000002
0,4.052,50,9,-0.5750000000000002
0,1.64,50,9,-0.5750000000000002
0,2.859,50,9,-0.5750000000000002
0,2.274,50,9,-0.5750000000000002
0,2.04,50,9,-0.5750000000000002
0,2.1519999999999997,50,9,-0.5750000000000002
0,1.05,50,9,-0.5750000000000002
0,1.09,50,9,-0.5750000000000002
0,2.103,50,9,-0.10000000000000007
0,3.68,50,9,-0.10000000000000007
1,2.536,50,9,-0.10000000000000007
0,2.285,50,9,-0.10000000000000007
0,2.635,50,9,-0.10000000000000007
0,3.57,50,9,-0.10000000000000007
1,2.245,50,9,-0.10000000000000007
0,2.285,50,9,-0.10000000000000007
1,1.506,50,9,-0.10000000000000007
0,2.391,50,9,-0.10000000000000007
1,0.12300000000000001,50,9,0.1
0,0.255,50,9,0.1
1,1.236,50,9,0.1
0,0.12300000000000001,50,9,0.1
0,1.0290000000000001,50,9,0.1
0,0.122,50,9,0.1
1,0.011000000000000001,50,9,0.1
0,0.126,50,9,0.1
1,0.444,50,9,0.1
1,0.185,50,9,0.1
1,1.546,50,9,0.575
1,2.725,50,9,0.575
1,0.542,50,9,0.575
1,0.052000000000000005,50,9,0.575
0,0.284,50,9,0.575
1,0.122,50,9,0.575
1,0.29,50,9,0.575
1,0.028999999999999998,50,9,0.575
1,0.077,50,9,0.575
0,0.153,50,9,0.575
0,0.154,50,9,0.575
1,1.7530000000000001,50,9,1.05
0,0.789,50,9,1.05
0,0.38,50,9,1.05
0,0.415,50,9,1.05
0,0.11199999999999999,50,9,1.05
0,0.013999999999999999,50,9,1.05
0,0.111,50,9,1.05
0,0.126,50,9,1.05
1,0.344,50,9,1.05
1,0.13699999999999998,50,9,1.05
0,0.109,50,9,1.525
1,1.148,50,9,1.525
1,0.11599999999999999,50,9,1.525
0,0.45399999999999996,50,9,1.525
0,0.109,50,9,1.525
0,0.34299999999999997,50,9,1.525
0,0.597,50,9,1.525
0,0.025,50,9,1.525
1,0.317,50,9,1.525
0,0.738,50,9,1.525
1,0.08,50,9,2.0
1,0.096,50,9,2.0
0,0.145,50,9,2.0
0,0.462,50,9,2.0
0,0.359,50,9,2.0
1,0.10099999999999999,50,9,2.0
1,0.344,50,9,2.0
0,0.14,50,9,2.0
1,0.14300000000000002,50,9,2.0
0,0.136,50,9,2.0
0,1.504,50,93,-5.0
0,1.625,50,93,-5.0
0,4.09,50,93,-5.0
0,1.534,50,93,-5.0
0,1.217,50,93,-5.0
0,1.514,50,93,-5.0
0,1.7169999999999999,50,93,-5.0
0,1.04,50,93,-5.0
0,1.443,50,93,-5.0
0,1.453,50,93,-5.0
0,2.1069999999999998,50,93,-3.875
0,1.926,50,93,-3.875
0,1.805,50,93,-3.875
0,1.151,50,93,-3.875
0,1.175,50,93,-3.875
0,1.138,50,93,-3.875
0,2.153,50,93,-3.875
0,1.463,50,93,-3.875
0,3.056,50,93,-3.875
0,1.7109999999999999,50,93,-3.875
1,1.6840000000000002,50,93,-2.75
0,1.354,50,93,-2.75
0,4.815,50,93,-2.75
0,3.639,50,93,-2.75
0,1.618,50,93,-2.75
0,2.075,50,93,-2.75
0,1.8090000000000002,50,93,-2.75
0,1.008,50,93,-2.75
0,1.172,50,93,-2.75
0,2.259,50,93,-2.75
0,1.9809999999999999,50,93,-1.625
0,1.3880000000000001,50,93,-1.625
0,1.5,50,93,-1.625
0,2.324,50,93,-1.625
0,2.4219999999999997,50,93,-1.625
0,4.871,50,93,-1.625
0,3.602,50,93,-1.625
0,1.073,50,93,-1.625
0,1.242,50,93,-1.625
0,3.247,50,93,-1.625
1,2.7319999999999998,50,93,-0.5
0,1.771,50,93,-0.5
0,2.168,50,93,-0.5
0,12.044,50,93,-0.5
0,1.426,50,93,-0.5
1,1.3619999999999999,50,93,-0.5
0,1.319,50,93,-0.5
1,3.27,50,93,-0.5
0,4.925,50,93,-0.5
0,2.2319999999999998,50,93,-0.5
1,1.84,50,93,0.5
0,0.073,50,93,0.5
1,0.804,50,93,0.5
0,0.12,50,93,0.5
0,0.435,50,93,0.5
0,0.45299999999999996,50,93,0.5
1,0.141,50,93,0.5
1,0.17600000000000002,50,93,0.5
1,0.326,50,93,0.5
1,0.168,50,93,0.5
1,2.698,50,93,1.625
1,0.151,50,93,1.625
1,0.11900000000000001,50,93,1.625
0,0.155,50,93,1.625
1,0.136,50,93,1.625
1,0.019,50,93,1.625
0,0.295,50,93,1.625
1,0.365,50,93,1.625
1,0.149,50,93,1.625
1,0.34,50,93,1.625
1,2.571,50,93,2.75
0,0.512,50,93,2.75
0,0.35600000000000004,50,93,2.75
0,2.7889999999999997,50,93,2.75
0,0.631,50,93,2.75
1,0.188,50,93,2.75
0,0.128,50,93,2.75
0,0.648,50,93,2.75
1,0.145,50,93,2.75
0,0.11199999999999999,50,93,2.75
1,0.268,50,93,3.875
0,0.102,50,93,3.875
1,2.759,50,93,3.875
1,0.142,50,93,3.875
1,0.29600000000000004,50,93,3.875
0,0.132,50,93,3.875
0,1.399,50,93,3.875
0,0.19699999999999998,50,93,3.875
1,0.11900000000000001,50,93,3.875
0,0.16899999999999998,50,93,3.875
0,0.4320000000000001,50,93,5.0
0,0.136,50,93,5.0
0,0.297,50,93,5.0
1,0.016,50,93,5.0
1,0.12300000000000001,50,93,5.0
0,0.128,50,93,5.0
0,0.125,50,93,5.0
0,0.141,50,93,5.0
1,0.135,50,93,5.0
0,0.12300000000000001,50,93,5.0
0,4.684,50,177,-7.0
0,6.164,50,177,-7.0
0,2.66,50,177,-7.0
0,2.469,50,177,-7.0
0,1.4409999999999998,50,177,-7.0
0,1.129,50,177,-7.0
0,1.315,50,177,-7.0
0,1.6640000000000001,50,177,-7.0
0,1.591,50,177,-7.0
0,1.224,50,177,-7.0
0,1.597,50,177,-5.375
