yes-answer,time,distance,intensity,difference
0,1.558,0,10,-1.0
0,1.16,0,10,-1.0
0,2.139,0,10,-1.0
0,1.53,0,10,-1.0
0,2.343,0,10,-1.0
0,1.872,0,10,-1.0
0,1.111,0,10,-1.0
0,1.38,0,10,-1.0
0,1.27,0,10,-1.0
0,1.296,0,10,-1.0
0,1.984,0,10,-0.775
0,1.897,0,10,-0.775
0,1.585,0,10,-0.775
0,1.471,0,10,-0.775
0,1.773,0,10,-0.775
0,1.1,0,10,-0.775
0,1.673,0,10,-0.775
0,1.6980000000000002,0,10,-0.775
0,1.955,0,10,-0.775
0,1.993,0,10,-0.775
0,2.318,0,10,-0.55
0,1.249,0,10,-0.55
0,1.403,0,10,-0.55
0,1.614,0,10,-0.55
0,2.165,0,10,-0.55
0,1.7180000000000002,0,10,-0.55
1,1.622,0,10,-0.55
0,1.794,0,10,-0.55
0,1.5730000000000002,0,10,-0.55
0,1.773,0,10,-0.55
0,2.457,0,10,-0.3250000000000001
0,1.96,0,10,-0.3250000000000001
0,2.343,0,10,-0.3250000000000001
0,1.258,0,10,-0.3250000000000001
1,1.758,0,10,-0.3250000000000001
0,2.007,0,10,-0.3250000000000001
0,1.596,0,10,-0.3250000000000001
0,1.729,0,10,-0.3250000000000001
0,0.242,0,10,-0.3250000000000001
0,2.684,0,10,-0.3250000000000001
0,1.393,0,10,-0.10000000000000007
0,1.771,0,10,-0.10000000000000007
1,1.63,0,10,-0.10000000000000007
1,1.618,0,10,-0.10000000000000007
1,1.6980000000000002,0,10,-0.10000000000000007
0,1.986,0,10,-0.10000000000000007
1,1.568,0,10,-0.10000000000000007
1,1.214,0,10,-0.10000000000000007
0,1.473,0,10,-0.10000000000000007
0,2.54,0,10,-0.10000000000000007
1,1.4780000000000002,0,10,0.1
0,2.36,0,10,0.1
1,2.947,0,10,0.1
0,1.3630000000000002,0,10,0.1
0,1.999,0,10,0.1
1,1.499,0,10,0.1
1,1.528,0,10,0.1
1,3.923,0,10,0.1
0,1.457,0,10,0.1
1,1.338,0,10,0.1
1,1.7619999999999998,0,10,0.325
0,3.2110000000000003,0,10,0.325
0,1.831,0,10,0.325
1,1.5019999999999998,0,10,0.325
0,1.851,0,10,0.325
1,1.886,0,10,0.325
1,2.146,0,10,0.325
1,1.6980000000000002,0,10,0.325
1,2.173,0,10,0.325
1,2.241,0,10,0.325
1,1.848,0,10,0.55
1,1.266,0,10,0.55
1,1.679,0,10,0.55
1,1.386,0,10,0.55
1,1.419,0,10,0.55
1,1.75,0,10,0.55
1,1.497,0,10,0.55
1,2.029,0,10,0.55
1,1.413,0,10,0.55
1,2.44,0,10,0.55
0,1.367,0,10,0.775
1,1.2009999999999998,0,10,0.775
1,1.773,0,10,0.775
1,1.598,0,10,0.775
1,2.271,0,10,0.775
1,1.558,0,10,0.775
1,2.0,0,10,0.775
1,2.464,0,10,0.775
1,1.4780000000000002,0,10,0.775
1,1.939,0,10,0.775
1,1.6769999999999998,0,10,1.0
1,2.091,0,10,1.0
1,1.666,0,10,1.0
1,2.419,0,10,1.0
1,1.385,0,10,1.0
1,1.601,0,10,1.0
1,1.874,0,10,1.0
1,1.6769999999999998,0,10,1.0
1,1.413,0,10,1.0
1,1.148,0,10,1.0
0,1.34,50,10,-2.0
0,1.584,50,10,-2.0
0,1.286,50,10,-2.0
0,1.283,50,10,-2.0
0,1.628,50,10,-2.0
0,1.3119999999999998,50,10,-2.0
0,1.847,50,10,-2.0
0,1.795,50,10,-2.0
0,1.5659999999999998,50,10,-2.0
0,2.377,50,10,-2.0
0,1.503,50,10,-1.525
0,2.22,50,10,-1.525
0,1.578,50,10,-1.525
0,1.787,50,10,-1.525
0,1.6230000000000002,50,10,-1.525
0,1.7480000000000002,50,10,-1.525
0,1.481,50,10,-1.525
0,1.581,50,10,-1.525
0,1.337,50,10,-1.525
0,1.723,50,10,-1.525
0,1.726,50,10,-1.0499999999999998
0,1.416,50,10,-1.0499999999999998
0,1.6230000000000002,50,10,-1.0499999999999998
0,1.4509999999999998,50,10,-1.0499999999999998
0,1.469,50,10,-1.0499999999999998
0,1.362,50,10,-1.0499999999999998
0,1.771,50,10,-1.0499999999999998
0,1.974,50,10,-1.0499999999999998
0,1.827,50,10,-1.0499999999999998
0,2.677,50,10,-1.0499999999999998
0,1.5319999999999998,50,10,-0.5749999999999997
0,2.091,50,10,-0.5749999999999997
1,2.02,50,10,-0.5749999999999997
0,1.6869999999999998,50,10,-0.5749999999999997
0,1.704,50,10,-0.5749999999999997
0,1.639,50,10,-0.5749999999999997
0,1.245,50,10,-0.5749999999999997
0,1.5530000000000002,50,10,-0.5749999999999997
1,1.704,50,10,-0.5749999999999997
0,1.61,50,10,-0.5749999999999997
1,1.198,50,10,-0.09999999999999963
1,3.4410000000000003,50,10,-0.09999999999999963
0,3.084,50,10,-0.09999999999999963
0,2.188,50,10,-0.09999999999999963
0,2.105,50,10,-0.09999999999999963
0,2.039,50,10,-0.09999999999999963
0,1.405,50,10,-0.09999999999999963
0,1.849,50,10,-0.09999999999999963
0,1.384,50,10,-0.09999999999999963
0,1.121,50,10,-0.09999999999999963
1,2.178,50,10,0.1
0,3.4560000000000004,50,10,0.1
1,1.968,50,10,0.1
1,2.031,50,10,0.1
0,1.9,50,10,0.1
0,2.316,50,10,0.1
0,3.4730000000000003,50,10,0.1
0,2.4290000000000003,50,10,0.1
0,2.019,50,10,0.1
0,2.067,50,10,0.1
1,1.834,50,10,0.575
1,1.612,50,10,0.575
0,1.909,50,10,0.575
1,1.985,50,10,0.575
1,1.982,50,10,0.575
1,2.042,50,10,0.575
1,1.759,50,10,0.575
1,1.975,50,10,0.575
1,2.023,50,10,0.575
1,1.725,50,10,0.575
1,1.7919999999999998,50,10,1.05
1,1.16,50,10,1.05
1,2.0340000000000003,50,10,1.05
1,1.158,50,10,1.05
1,1.4780000000000002,50,10,1.05
1,1.199,50,10,1.05
1,1.551,50,10,1.05
1,1.988,50,10,1.05
1,1.643,50,10,1.05
1,1.436,50,10,1.05
1,1.6909999999999998,50,10,1.525
1,1.232,50,10,1.525
1,2.278,50,10,1.525
1,1.275,50,10,1.525
1,1.206,50,10,1.525
1,1.683,50,10,1.525
1,1.672,50,10,1.525
1,1.338,50,10,1.525
1,1.268,50,10,1.525
1,1.5830000000000002,50,10,1.525
1,1.834,50,10,2.0
1,1.521,50,10,2.0
1,1.51,50,10,2.0
1,1.543,50,10,2.0
1,1.496,50,10,2.0
1,1.591,50,10,2.0
1,1.736,50,10,2.0
1,1.467,50,10,2.0
1,1.53,50,10,2.0
1,1.508,50,10,2.0
0,2.611,100,10,-3.0
0,1.234,100,10,-3.0
0,1.625,100,10,-3.0
0,1.847,100,10,-3.0
0,1.6669999999999998,100,10,-3.0
0,1.516,100,10,-3.0
0,1.4680000000000002,100,10,-3.0
0,1.39,100,10,-3.0
0,1.596,100,10,-3.0
0,1.956,100,10,-3.0
0,1.771,100,10,-2.275
0,1.879,100,10,-2.275
0,1.6030000000000002,100,10,-2.275
0,1.839,100,10,-2.275
