yes-answer,time,distance,intensity,difference
0,1.669,0,10,-3.0
0,1.3430000000000002,0,10,-3.0
0,1.5719999999999998,0,10,-3.0
0,1.4580000000000002,0,10,-3.0
0,1.406,0,10,-3.0
0,1.855,0,10,-3.0
0,1.866,0,10,-3.0
0,1.406,0,10,-3.0
0,2.833,0,10,-3.0
0,1.35,0,10,-3.0
0,1.624,0,10,-2.375
0,2.335,0,10,-2.375
0,1.127,0,10,-2.375
0,1.537,0,10,-2.375
0,2.215,0,10,-2.375
0,1.777,0,10,-2.375
0,0.992,0,10,-2.375
0,1.195,0,10,-2.375
0,1.479,0,10,-2.375
0,1.606,0,10,-2.375
0,1.212,0,10,-1.75
0,2.257,0,10,-1.75
0,2.58,0,10,-1.75
0,1.331,0,10,-1.75
1,1.452,0,10,-1.75
0,1.825,0,10,-1.75
0,1.806,0,10,-1.75
0,2.95,0,10,-1.75
0,1.658,0,10,-1.75
0,2.45,0,10,-1.75
0,3.1,0,10,-1.125
0,1.51,0,10,-1.125
0,1.621,0,10,-1.125
0,2.441,0,10,-1.125
0,1.808,0,10,-1.125
0,1.415,0,10,-1.125
0,1.349,0,10,-1.125
0,1.272,0,10,-1.125
0,1.461,0,10,-1.125
1,2.166,0,10,-1.125
0,3.748,0,10,-0.5
0,2.143,0,10,-0.5
0,1.721,0,10,-0.5
0,1.158,0,10,-0.5
1,1.614,0,10,-0.5
0,1.887,0,10,-0.5
0,1.49,0,10,-0.5
0,1.348,0,10,-0.5
0,1.212,0,10,-0.5
0,2.472,0,10,-0.5
1,1.672,0,10,0.5
0,2.242,0,10,0.5
1,2.212,0,10,0.5
1,2.316,0,10,0.5
1,2.202,0,10,0.5
1,3.911,0,10,0.5
1,2.134,0,10,0.5
1,1.54,0,10,0.5
1,2.232,0,10,0.5
0,2.846,0,10,0.5
1,2.036,0,10,1.125
1,1.893,0,10,1.125
1,1.758,0,10,1.125
1,1.814,0,10,1.125
1,2.508,0,10,1.125
1,3.301,0,10,1.125
1,1.414,0,10,1.125
1,2.227,0,10,1.125
1,1.213,0,10,1.125
1,1.435,0,10,1.125
1,1.504,0,10,1.75
1,1.631,0,10,1.75
1,1.533,0,10,1.75
1,1.924,0,10,1.75
1,1.439,0,10,1.75
1,1.291,0,10,1.75
1,1.676,0,10,1.75
1,1.529,0,10,1.75
1,1.413,0,10,1.75
1,1.6840000000000002,0,10,1.75
1,1.72,0,10,2.375
1,3.033,0,10,2.375
1,1.747,0,10,2.375
1,2.031,0,10,2.375
1,2.09,0,10,2.375
1,1.5319999999999998,0,10,2.375
1,1.821,0,10,2.375
1,1.715,0,10,2.375
1,2.175,0,10,2.375
0,2.319,0,10,2.375
1,2.116,0,10,3.0
